"id","name","type","length","startLat","startLng","startStakeNum","endStakeNum","endLat","endLng","tollRoads","endTime","provinceType","operation","isLoopCity","enTollStation","exTollStation","entrystation","exitstation","tollGrantry","ownerid","roadid","roadidname","roadtype","feeKtype","feeHtype","status","Gantrys","inoutprovince","HEX","NOTE","SORT","DIRECTION","BEGINTIME","VERTICALSECTIONTYPE","tollstaion"
"G000561001000110","禹门口省界-工业园匝道",2,1690,"35.597440","110.573792",839,840.5,"35.590876","110.559901","G000561","2025-10-27",1,1,0,"G0005610010010","G0005610010110",400305,400306,"G000561001000110",40,1,"阎禹高速",1,1,1,1,"G000561001000110010","2","270001","12",1,1,"2005-10-28",1,"G0005610010010"
"G000561001000120","工业园匝道-禹门口省界",2,1690,"35.590934","110.560509",840.5,839,"35.593749","110.565724","G000561","2025-10-27",1,1,0,"G0005610010110","G0005610010010",400306,400305,"G000561001000120",40,1,"阎禹高速",1,1,1,1,"G000561001000120010","1","270002","11",2,2,"2005-10-28",1,"G0005610010010"
"G000561001000210","工业园匝道-龙门匝道",2,4130,"35.590876","110.559901",840.5,844.73,"35.567349","110.523919","G000561","2025-10-27",2,1,0,"G0005610010110","G0005610010020",400306,400304,"G000561001000210",40,1,"阎禹高速",1,1,1,1,"G000561001000210010","0","270003","0",3,1,"2005-10-28",1,
"G000561001000220","龙门匝道-工业园匝道",2,4130,"35.567164","110.524130",844.73,840.5,"35.590934","110.560509","G000561","2025-10-27",2,1,0,"G0005610010020","G0005610010110",400304,400306,"G000561001000220",40,1,"阎禹高速",1,1,1,1,"G000561001000220010","0","270004","0",4,2,"2005-10-28",1,
"G000561001000310","龙门匝道-韩城匝道",2,11200,"35.567349","110.523919",844.73,855.96,"35.506688","110.488312","G000561","2025-10-27",2,1,0,"G0005610010020","G0005610010030",400304,400303,"G000561001000310",40,1,"阎禹高速",1,1,1,1,"G000561001000310010","0","270005","0",5,1,"2005-10-28",1,
"G000561001000320","韩城匝道-龙门匝道",2,11200,"35.477377","110.477181",855.96,844.73,"35.567164","110.524130","G000561","2025-10-27",2,1,0,"G0005610010030","G0005610010020",400303,400304,"G000561001000320",40,1,"阎禹高速",1,1,1,1,"G000561001000320010","0","270006","0",6,2,"2005-10-28",1,
"G000561001000410","韩城匝道-芝川匝道",2,17780,"35.506688","110.488312",855.96,873.73,"35.392917","110.443767","G000561","2025-10-27",0,1,0,"G0005610010030","G0005610010040",400303,400302,"G000561001000410",40,1,"阎禹高速",1,1,1,1,"G000561001000410010","0","270007","0",7,1,"2005-10-28",1,
"G000561001000420","芝川匝道-韩城匝道",2,17780,"35.231109","110.179817",873.73,855.96,"35.477377","110.477181","G000561","2025-10-27",0,1,0,"G0005610010040","G0005610010030",400302,400303,"G000561001000420",40,1,"阎禹高速",1,1,1,1,"G000561001000420010","0","270008","0",8,2,"2005-10-28",1,
"G000561001000510","芝川匝道-合阳东枢纽",2,13570,"35.392917","110.443767",873.73,887.3,"35.210488","110.163924","G000561","2025-10-27",0,1,0,"G0005610010040","G0005610010050",400302,400301,"G000561001000510",40,1,"阎禹高速",1,1,1,1,"G000561001000510010","0","270009","0",9,1,"2005-10-28",1,
"G000561001000520","合阳东枢纽-芝川匝道",2,13570,"35.209480","110.162476",887.3,873.73,"35.231109","110.179817","G000561","2025-10-27",0,1,0,"G0005610010050","G0005610010040",0,400302,"G000561001000520",40,1,"阎禹高速",1,1,1,1,"G000561001000520010","0","27000A","0",10,2,"2005-10-28",1,
"G000561001000610","合阳匝道-澄城匝道",2,33850,"35.210597","110.163844",901.572,934.689,"35.003307","109.928957","G000561","2025-10-27",0,1,0,"G0005610010050","G0005610010060",400301,400203,"G000561001000610",40,1,"阎禹高速",1,1,1,1,"G000561001000610010","0","27000B","0",11,1,"2005-10-28",1,
"G000561001000620","澄城匝道-合阳匝道",2,33850,"35.003019","109.928991",934.689,901.572,"35.210345","110.164036","G000561","2025-10-27",0,1,0,"G0005610010060","G0005610010050",400203,400301,"G000561001000620",40,1,"阎禹高速",1,1,1,1,"G000561001000620010","0","27000C","0",12,2,"2005-10-28",1,
"G000561001000710","澄城匝道-孙镇匝道",2,17490,"35.003307","109.928957",934.689,952.9,"34.934950","109.762972","G000561","2025-10-27",0,1,0,"G0005610010060","G0005610010070",400203,400202,"G000561001000710",40,1,"阎禹高速",1,1,1,1,"G000561001000710010","0","27000D","0",13,1,"2005-10-28",1,
"G000561001000720","孙镇匝道-澄城匝道",2,17490,"34.934715","109.762868",952.9,934.689,"35.003019","109.928991","G000561","2025-10-27",0,1,0,"G0005610010070","G0005610010060",400202,400203,"G000561001000720",40,1,"阎禹高速",1,1,1,1,"G000561001000720010","0","27000E","0",14,2,"2005-10-28",1,
"G000561001000810","孙镇匝道-东杨互通",2,10580,"34.934950","109.762972",952.9,963.57,"34.913523","109.650883","G000561","2025-10-27",0,1,0,"G0005610010070",,400202,9990204,"G000561001000810",40,1,"阎禹高速",1,1,1,1,"G000561001000810010","0","27000F","0",15,1,"2005-10-28",1,
"G000561001000820","东杨互通-孙镇匝道",2,10580,"34.913255","109.651036",963.57,952.9,"34.934715","109.762868","G000561","2025-10-27",0,1,0,,"G0005610010070",9990204,400202,"G000561001000820",40,1,"阎禹高速",1,1,1,1,"G000561001000820010","0","270010","0",16,2,"2005-10-28",1,
"G000561001000910","东杨互通-蒲城匝道",2,4704,"34.912906","109.650841",963.57,968.274,"34.904454","109.601696","G000561","2025-10-27",0,1,0,,"G0005610010080",9990204,400201,"G000561001000910",40,1,"阎禹高速",1,1,1,1,"G000561001000910010","0","270011","0",17,1,"2005-10-28",1,
