id,speed_origin,speed
G000561003000320_1.0,54.8,50
G000561003000120_1.0,51.1,50
G300161001001620_1.0,37.3,37.3
G003061003000110_1.0,53.3,50
G300161001000810_1.0,54.3,50
G006561009000110_1.0,42.1,42.1
G006561005000410_1.0,56.6,50
G006561005000510_1.0,43.7,43.7
G006561005000420_1.0,45.3,45.3
G006561005000220_1.0,55.9,50
G065E61001000610_1.0,59.4,50
G065E61001000710_1.0,62.5,50
G065E61001000810_1.0,56.4,50
G065E61001000910_1.0,52.1,50
G065E61004000110_1.0,24.9,24.9
G065E61004000210_1.0,51.5,50
G065E61004000310_1.0,51.5,50
G065E61004000410_1.0,51.4,50
S001461001000110_1.0,15.1,15.1
S001461001000210_1.0,50,50
S101561001000110_1.0,29.5,29.5
S101561001000210_1.0,56.4,50
S101561001000310_1.0,50,50
G221161001001810_1.0,32.7,32.7
G221161001000910_1.0,50,50
G221161001001010_1.0,53.3,50
G065W61001000110_1.0,53,50
G065W61001000210_1.0,57.7,50
G065W61001000310_1.0,46.7,46.7
G065W61001000410_1.0,53.5,50
G065W61001000510_1.0,56.8,50
G065W61001000610_1.0,61.7,50
G065W61002000210_1.0,57.7,50
G065W61002000310_1.0,56.7,50
G065W61002000410_1.0,63.8,50
G065W61002000510_1.0,61.2,50
G065W61002000710_1.0,60.8,50
G065W61002000810_1.0,63.8,50
G065W61003000110_1.0,66.1,50
G065W61003000210_1.0,62.9,50
G065W61003000310_1.0,63.8,50
G065W61003000410_1.0,64.8,50
G065W61003000510_1.0,57.6,50
G065W61003000610_1.0,62.9,50
G065W61003001610_1.0,61.6,50
G065W61003000710_1.0,63.9,50
G300161001000110_1.0,49.6,49.6
G300161001000210_1.0,52.1,50
G300161001000410_1.0,52.1,50
G300161001000510_1.0,37.1,37.1
G300161001000610_1.0,53,50
G300161001000710_1.0,48.3,48.3
G003061002000320_1.0,39.5,39.5
G003061002000220_1.0,54.7,50
G003061002000310_1.0,50.7,50
G300161001001610_1.0,56.9,50
G300161001001810_1.0,59.2,50
S000161001000210_1.0,45.7,45.7
S000161001000310_1.0,53.1,50
S000161001000410_1.0,57.8,50
G300161001001820_1.0,50.7,50
G300161001001720_1.0,54,50
G007061002000710_1.0,46.4,46.4
G007061002000810_1.0,71.2,50
G007061003000210_1.0,53.2,50
G007061003000310_1.0,57.7,50
G300161001000720_1.0,54.6,50
G300161001000620_1.0,57.5,50
G300161001000520_1.0,55.2,50
G300161001000420_1.0,38.4,38.4
G300161001000220_1.0,48.8,48.8
G300161001000120_1.0,52.6,50
G300161001001920_1.0,49.9,49.9
G007061005000510_1.0,53.3,50
G007061005000610_1.0,45.6,45.6
G007061005000710_1.0,52.1,50
G007061005000810_1.0,61.9,50
G007061005000910_1.0,59.2,50
G007061005001010_1.0,58.2,50
G007061005001110_1.0,61.3,50
G007061006001210_1.0,58,50
G007061006001310_1.0,55.7,50
G007061007000210_1.0,13.4,13.4
G007061006001410_1.0,31.4,31.4
G007061007000220_1.0,34.8,34.8
G007061006001320_1.0,46.5,46.5
G007061006001220_1.0,55.4,50
G007061005001120_1.0,57.1,50
G007061005001020_1.0,62.5,50
G007061005000920_1.0,48.8,48.8
G007061005000820_1.0,59.1,50
G007061005000720_1.0,60.8,50
G007061005000620_1.0,61.2,50
G007061005000520_1.0,47.4,47.4
G007061004000420_1.0,36.6,36.6
S000161001000320_1.0,59.5,50
S000161001000220_1.0,54.9,50
G300161001001910_1.0,50.2,50
